都道府県,月収（円）,消費支出（円/月）,可処分所得（円/月）
三重県,296600,277102,19498
京都府,305600,299924,5676
佐賀県,265000,273822,-8822
兵庫県,312300,298485,13815
北海道,267700,277737,-10037
千葉県,309000,304582,4418
和歌山県,288000,263910,24090
埼玉県,305200,324793,-19593
大分県,275100,298060,-22960
大阪府,330900,265161,65739
奈良県,310600,303376,7224
宮城県,284200,287781,-3581
宮崎県,249600,271613,-22013
富山県,281200,316801,-35601
山口県,283200,315225,-32025
山形県,254600,276567,-21967
山梨県,287700,285583,2117
岐阜県,292700,313314,-20614
岡山県,285200,303131,-17931
岩手県,252300,285815,-33515
島根県,263100,278522,-15422
広島県,296100,291402,4698
徳島県,277100,283864,-6764
愛媛県,267300,245054,22246
愛知県,312600,319344,-6744
新潟県,275000,295332,-20332
東京都,375500,321633,53867
栃木県,296600,297278,-678
沖縄県,252000,251735,265
滋賀県,303800,319456,-15656
熊本県,270300,281836,-11536
石川県,283100,305812,-22712
神奈川県,335600,301379,34221
福井県,283500,274299,9201
福岡県,296500,286265,10235
福島県,267900,295278,-27378
秋田県,259100,275545,-16445
群馬県,284400,310407,-26007
茨城県,305200,298053,7147
長崎県,267700,271129,-3429
長野県,285200,298965,-13765
青森県,247600,249660,-2060
静岡県,294200,300439,-6239
香川県,282800,280367,2433
高知県,265200,284828,-19628
鳥取県,263800,272862,-9062
鹿児島県,256000,279101,-23101
