都道府県,転出超過数,女性20〜24歳人口,転出超過率(%)
三重県,-1371,37364,-3.6693
京都府,-565,70703,-0.7991
佐賀県,-670,17077,-3.9234
兵庫県,-2125,125970,-1.6869
北海道,-2306,107793,-2.1393
千葉県,2579,153709,1.6778
和歌山県,-895,17414,-5.1395
埼玉県,3493,179830,1.9424
大分県,-1228,21003,-5.8468
大阪府,6372,235653,2.704
奈良県,-1003,31095,-3.2256
宮城県,-672,54261,-1.2385
宮崎県,-1001,18956,-5.2806
富山県,-794,19801,-4.0099
山口県,-1521,25692,-5.9201
山形県,-1233,18625,-6.6201
山梨県,-1016,17000,-5.9765
岐阜県,-1711,43347,-3.9472
岡山県,-1604,43892,-3.6544
岩手県,-1360,20603,-6.601
島根県,-465,11553,-4.0249
広島県,-2336,61661,-3.7885
徳島県,-791,13246,-5.9716
愛媛県,-1504,23959,-6.2774
愛知県,551,188488,0.2923
新潟県,-2276,40728,-5.5883
東京都,29985,401904,7.4607
栃木県,-1180,38620,-3.0554
沖縄県,-701,34275,-2.0452
滋賀県,-803,33204,-2.4184
熊本県,-1021,35078,-2.9107
石川県,-1009,25493,-3.9579
神奈川県,7814,237521,3.2898
福井県,-933,14997,-6.2212
福岡県,-182,126199,-0.1442
福島県,-1906,32551,-5.8554
秋田県,-948,13760,-6.8895
群馬県,-1643,40394,-4.0674
茨城県,-2485,58769,-4.2284
長崎県,-1277,23970,-5.3275
長野県,-1682,36730,-4.5794
青森県,-1478,20852,-7.088
静岡県,-1715,71429,-2.401
香川県,-818,17809,-4.5932
高知県,-666,11946,-5.5751
鳥取県,-619,10379,-5.964
鹿児島県,-1281,28134,-4.5532
